timestamp, temperature_gpu, power_draw_w, power_limit_w, utilization_gpu, utilization_memory, memory_used_mib, memory_free_mib, clocks_throttle_reasons_active, clocks_current_sm_mhz, clocks_applications_graphics_mhz, clocks_current_memory_mhz, clocks_max_memory_mhz, pstate
1557442814412650120, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814414564448, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814416464585, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814418473498, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814420389523, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814428518657, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814430439371, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814432356907, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814434345490, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814436259598, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814438175947, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814440094251, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814442121299, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814448641203, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814450560560, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814452479031, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814454407613, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814456331085, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814458250158, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814460167756, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814468973442, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814470896552, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814472816907, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814474735113, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814476629666, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814478549847, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814480471403, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814488686689, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814490609223, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814492528949, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814494449045, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
1557442814496374452, 57, 42, 250, 0, 2, 2044, 10574, 0, 1200, 1200, 850, 850, 2
